Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.immunizations-measles.json	35691	-	0	0	0	0	0	0	9	61	0	0	0	0	0	0	0	1	0	0	226	175	0	0	0	0	6	0	1
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesCIMR.json	1561	8	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	44	26	0	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesEval.json	1360	7	1	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	28	20	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesMR.json	1572	7	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	30	19	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-CommunityHealthWorker.json	737	7	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	25	33	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-EPIManager.json	700	8	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	28	43	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-HealthWorker.json	538	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	24	33	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ICD11.json	6158	9	0	0	0	0	0	0	1	23	0	0	1	0	0	0	0	0	0	0	62	2143	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZConcepts.json	12863	8	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	92	186	0	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-VaccineProducts.json	1208	7	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	39	74	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZConceptsToAdministrativeGender.json	2584	6	1	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	35	50	0	0	1	0	0	0	1
fsh-generated/resources/ConceptMap-IMMZConceptsToICD11.json	6164	8	0	0	0	0	0	0	1	30	0	0	0	0	0	0	0	0	0	0	67	74	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZConceptsToLOINC.json	6360	7	0	0	0	0	0	0	0	1308	0	0	0	0	0	0	0	0	0	0	72	82	0	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-IMMZConceptsToSNOMED.json	8760	8	0	0	0	0	0	0	1	4620	0	0	0	0	0	0	0	1	0	0	90	97	0	0	0	0	5	0	0
fsh-generated/resources/Immunization-Immunization1.json	872	7	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	24	54	0	0	0	0	0	0	0
fsh-generated/resources/Library-IMMZCommon.json	1095	7	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	417	60	0	0	0	0	14	0	0
fsh-generated/resources/Library-IMMZConcepts.json	1079	7	0	0	0	0	0	0	0	423	0	0	0	0	0	0	0	0	0	0	202	39	0	0	0	0	4	0	0
fsh-generated/resources/Library-IMMZConfig.json	1069	6	0	0	0	0	0	0	1	702	0	0	0	0	0	0	0	0	0	0	218	30	0	0	0	0	3	0	0
fsh-generated/resources/Library-IMMZD2DTMeaslesDose0Logic.json	1189	7	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	285	45	0	0	0	0	8	0	0
fsh-generated/resources/Library-IMMZD2DTMeaslesLTLogic.json	1174	7	1	0	0	0	0	0	0	457	0	0	0	0	0	0	0	0	0	0	374	53	0	0	0	0	9	0	0
fsh-generated/resources/Library-IMMZD2DTMeaslesLogic.json	1157	6	0	0	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	0	201	41	0	0	0	0	4	0	0
fsh-generated/resources/Library-IMMZD2DTMeaslesOTLogic.json	1174	7	0	0	0	0	0	0	1	441	0	0	0	0	0	0	0	0	0	0	375	31	0	0	0	0	9	0	0
fsh-generated/resources/Library-IMMZD2DTMeaslesSupplementaryLogic.json	1229	7	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	230	25	0	0	0	0	6	0	0
fsh-generated/resources/Library-IMMZD5DTMeaslesCILogic.json	1174	4	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	109	25	0	0	0	0	2	0	0
fsh-generated/resources/Library-IMMZElements.json	1099	3	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	1590	132	0	0	0	1	37	0	0
fsh-generated/resources/Library-IMMZEncounterElements.json	1140	4	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	1546	62	0	0	0	0	40	0	0
fsh-generated/resources/Library-IMMZIND08Logic.json	1115	4	0	0	0	0	0	0	1	262	0	0	0	0	0	0	0	0	0	0	211	25	0	0	0	0	6	0	0
fsh-generated/resources/Library-IMMZIND12Logic.json	1121	3	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	139	23	0	0	0	0	3	0	0
fsh-generated/resources/Library-IMMZIND13Logic.json	1121	4	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	149	23	0	0	0	0	3	0	0
fsh-generated/resources/Library-IMMZIndicatorElements.json	1169	4	0	0	0	0	0	0	0	558	0	0	0	0	0	0	0	0	0	0	1271	55	0	0	0	0	30	0	0
fsh-generated/resources/Library-IMMZVaccineLibrary.json	1130	3	1	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	90	21	0	0	0	0	2	0	0
fsh-generated/resources/Library-WHOCommon.json	1112	4	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	2330	85	0	0	0	0	60	0	0
fsh-generated/resources/Library-WHOConcepts.json	1103	4	0	0	0	0	0	0	1	140	0	0	0	0	0	0	0	0	0	0	95	21	0	0	0	0	1	0	0
fsh-generated/resources/Library-WHOElements.json	1116	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	116	21	0	0	0	0	3	0	0
fsh-generated/resources/Library-WHOEncounterElements.json	1157	3	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	120	33	0	0	0	0	3	0	1
fsh-generated/resources/Measure-IMMZIND08.json	3572	4	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	39	21	0	0	0	0	0	0	0
fsh-generated/resources/Measure-IMMZIND12.json	3284	4	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	36	37	0	0	0	0	1	0	0
fsh-generated/resources/Measure-IMMZIND13.json	3344	4	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	37	36	0	0	0	0	0	0	0
fsh-generated/resources/Medication-Vaccine-MSDMMRVaxPro.json	1002	4	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	23	31	0	0	0	0	0	0	0
fsh-generated/resources/Medication-Vaccine-SIIMeasles.json	693	4	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	22	25	0	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-VaccineProposal1.json	459	3	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	22	39	0	0	0	0	0	0	0
fsh-generated/resources/Patient-P123456.json	287	4	1	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	19	24	0	0	0	0	0	0	0
fsh-generated/resources/Patient-P654321.json	287	4	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	19	22	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeaslesDose0.json	7116	4	0	0	0	0	0	0	1	115	0	0	0	0	0	0	0	0	0	0	47	51	0	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeaslesLT.json	10048	4	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	51	22	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeaslesOT.json	10065	4	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	50	31	0	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeaslesSupplementary.json	5613	4	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	45	37	0	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-IMMZD5DTMeaslesCI.json	3410	4	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	38	26	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZDTImmunizationStrategy.json	3905	4	0	0	0	0	0	0	1	176	0	0	0	0	0	0	0	0	0	0	39	20	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-QIMMZCAdministerVaccine.json	7624	6	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	94	5722	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-QIMMZCRegisterClient.json	9665	4	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	102	118	0	0	0	0	2	0	1
fsh-generated/resources/Questionnaire-QIMMZD1ClientHistoryMeasles.json	7115	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	93	371	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-QIMMZD4CheckContraindicationsMeasles.json	2893	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	44	102	0	0	0	0	2	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.C.QuestionnaireResponse.1.json	2482	4	1	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	69	52	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.D1.QuestionnaireResponse.1.json	1098	4	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	47	44	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.D1.QuestionnaireResponse.2.json	1590	7	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	1	0	0	56	45	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.D1.QuestionnaireResponse.3.json	2341	4	0	0	0	0	0	0	1	136	0	0	0	0	0	0	0	0	0	0	73	47	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.D4.QuestionnaireResponse.1.json	675	4	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	35	43	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.D4.QuestionnaireResponse.2.json	682	4	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	37	42	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.D4.QuestionnaireResponse.3.json	682	3	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	35	24	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.D4.QuestionnaireResponse.4.json	1710	4	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	47	32	0	0	0	0	0	0	0
fsh-generated/resources/Requirements-immz-e-fxnreq.json	6348	4	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	70	32	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-IMMZCRegisterClient.json	9053	5	0	0	0	0	0	20	0	27	0	0	0	0	0	0	0	0	0	0	136	848	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-IMMZD1ClientHistoryMeasles.json	7875	4	0	0	0	0	0	49	0	16	0	0	0	0	0	0	0	0	0	0	128	371	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-IMMZD4CheckContraindicationsMeasles.json	2496	4	0	0	0	0	0	39	0	10	0	0	0	0	0	0	0	0	0	0	54	129	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-IMMZDUpdateVaccinationRecord.json	11248	4	0	0	0	0	0	54	0	20	0	0	0	0	0	0	0	0	0	0	147	241	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SGImmunization.json	1582	4	0	0	0	0	0	116	0	54	0	0	1	0	0	0	0	1	0	0	258	613	0	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-SGMedicationClassification.json	1417	4	1	0	0	0	0	64	0	12	0	0	0	0	0	0	0	0	0	0	63	97	0	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-SGVaccineProduct.json	1531	4	0	0	0	0	0	31	0	25	0	0	0	0	0	0	0	0	0	0	159	308	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-SGVaccineProposal.json	1834	6	0	0	0	0	0	47	0	32	0	0	0	0	0	0	0	0	0	0	274	643	0	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-SGVaccineRequest.json	1302	7	0	0	0	0	0	51	0	30	0	0	0	0	0	0	0	1	0	0	258	611	0	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-sg-ext-administeredProduct.json	1530	6	0	0	0	0	0	10	0	19	0	0	0	0	0	0	0	0	0	0	69	144	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ARVDrugs-values.json	1023	7	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	25	174	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-AllVaccineTypes.json	1802	6	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	28	93	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-Birthweight-values.json	1138	6	0	0	0	0	0	0	1	172	0	0	0	0	0	0	0	0	0	0	25	236	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVstatus-values.json	1313	7	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	26	156	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-IMMZ.C.DE5.json	1120	4	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	25	87	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IMMZ.D1.DE10.json	1055	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	24	71	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IMMZ.D1.DE1VS.json	952	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	25	72	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IMMZ.D1.DE5VS.json	1421	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	33	92	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-IMMZ.D4.DE161.json	1358	4	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	27	55	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IMMZ.Z.DE9.json	1977	4	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	29	77	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-Immunocompromised-values.json	998	4	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	23	129	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-LiveAttenuatedVaccines.json	1875	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	34	90	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-Negativetestresult-values.json	892	4	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	24	151	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-PositiveTestResult-values.json	898	4	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	23	127	0	0	0	0	0	0	0
