Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-who.fhir.smart-immunizations-measles.json	31505	-	1	0	0	0	0	0	9	298	0	0	0	0	0	0	0	4	0	0	367	314	0	0	0	0	15	0	2
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesCIMR.json	1602	13	0	0	0	1	0	0	0	56	0	0	0	0	0	0	0	0	0	0	29	27	0	0	0	0	8	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesEval.json	1401	8	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	25	13	0	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesMR.json	2101	13	0	0	0	0	0	0	1	81	0	0	0	0	0	0	0	0	0	0	26	17	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-CommunityHealthWorker.json	760	6	1	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	19	24	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-EPIManager.json	728	5	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	18	23	0	0	0	0	2	0	0
fsh-generated/resources/ActorDefinition-HealthWorker.json	559	5	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	17	26	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ICD11.json	5872	30	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	62	45238	0	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-IMMZ.C.json	3278	16	0	0	0	0	0	0	1	41	0	0	0	0	0	0	0	0	0	0	41	227	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.DE1.json	1049	7	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	16	227	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.DE5.json	2626	12	1	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	26	235	0	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.json	2732	12	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	35	206	0	0	0	0	7	0	0
fsh-generated/resources/CodeSystem-IMMZ.D4.json	1636	8	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	18	190	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-VaccineProducts.json	972	7	0	0	0	0	0	0	1	32	0	0	0	0	0	0	0	0	0	0	24	164	0	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-IMMZCConceptMap.json	7489	49	0	0	0	0	0	0	1	1169	0	0	0	0	0	0	0	1	0	0	88	125	0	0	1	0	2	0	1
fsh-generated/resources/ConceptMap-IMMZCSexToAdministrativeGender.json	2382	16	1	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	33	49	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZD1ConceptMap.json	6765	31	0	0	0	0	0	0	1	580	0	0	0	0	0	0	0	0	0	0	77	75	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZD4ConceptMap.json	6421	30	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	2	0	0	77	102	0	0	0	0	9	0	0
fsh-generated/resources/Immunization-Immunization1.json	897	7	0	0	0	0	0	0	1	82	0	0	0	0	0	0	0	0	0	0	14	32	0	0	0	0	0	0	0
fsh-generated/resources/Library-FHIRCommon.json	798	6	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	2043	250	0	0	0	0	89	0	0
fsh-generated/resources/Library-FHIRHelpers.json	992	6	1	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	0	0	4048	296	0	0	0	0	125	0	0
fsh-generated/resources/Library-IMMZCommon.json	800	6	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	1268	150	0	0	0	0	54	0	0
fsh-generated/resources/Library-IMMZCommonIzDataElements.json	870	6	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	143	25	0	0	0	0	11	0	0
fsh-generated/resources/Library-IMMZConcepts.json	784	6	0	0	0	0	0	0	1	72	0	0	0	0	0	0	0	0	0	0	177	49	0	0	0	0	30	0	0
fsh-generated/resources/Library-IMMZConfig.json	774	5	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	333	71	0	0	0	0	14	0	1
fsh-generated/resources/Library-IMMZD2DTMeaslesLogic.json	862	6	0	0	0	0	0	0	1	78	0	0	0	0	0	0	0	0	0	0	800	163	0	0	0	0	34	0	0
