Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-who.fhir.smart-immunizations-measles.json	23234	-	1	0	0	0	0	0	8	143	0	0	1	0	0	0	0	3	0	0	191	237	0	0	0	0	8	0	7
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesCIMR.json	1589	9	0	0	0	1	0	0	0	30	0	0	0	0	0	0	0	0	0	0	30	22	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesEval.json	1397	6	1	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	21	19	0	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesMR.json	2088	9	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	28	14	0	0	0	0	8	0	0
fsh-generated/resources/ActorDefinition-CommunityHealthWorker.json	760	5	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	15	19	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-EPIManager.json	728	5	1	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	14	49	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-HealthWorker.json	559	5	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	13	157	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ICD11.json	3799	14	1	0	0	0	0	0	1	37	0	0	0	0	0	0	0	0	0	0	33	40375	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ-C.json	3278	11	1	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	25	259	0	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-IMMZ-D1.json	10077	25	0	0	0	0	0	0	1	54	0	0	0	0	0	0	0	0	0	0	65	270	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.D4.json	1636	6	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	17	199	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-VaccineProducts.json	972	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	14	170	0	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-IMMZ-D1.ConceptMap.json	19656	54	1	0	0	0	0	0	3	2525	0	0	0	0	0	0	0	1	0	0	149	156	0	0	0	0	4	0	0
fsh-generated/resources/ConceptMap-IMMZ.C.ConceptMap.json	7479	23	0	0	0	0	0	0	1	1729	0	0	0	0	0	0	0	0	0	0	63	76	0	0	0	0	14	0	0
fsh-generated/resources/ConceptMap-IMMZ.D4.ConceptMap.json	6411	26	0	0	0	0	0	0	1	370	0	0	0	0	0	0	0	0	0	0	55	75	0	0	0	0	2	0	1
fsh-generated/resources/ConceptMap-IMMZCSexToAdministrativeGender.json	2403	9	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	24	45	0	0	0	0	0	0	0
fsh-generated/resources/Immunization-Immunization1.json	891	6	1	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	14	21	0	0	0	0	0	0	0
fsh-generated/resources/Measure-IMMZIND05.json	3308	10	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	23	20	0	0	0	0	1	0	0
fsh-generated/resources/Measure-IMMZIND40.json	3309	10	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	22	16	0	0	0	0	0	0	0
fsh-generated/resources/Medication-Vaccine-MSDMMRVaxPro.json	1020	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0	0
fsh-generated/resources/Medication-Vaccine-SIIMeasles.json	711	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-VaccineProposal1.json	460	4	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	9	21	0	0	0	0	0	0	0
fsh-generated/resources/Patient-P123456.json	285	5	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	6	17	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeasles.json	1533	6	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	17	19	0	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeaslesCI.json	2235	7	1	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	30	15	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZDTUmbrella.json	1922	6	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	22	10	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-Questionnaire-IMMZCRegisterClient.json	9296	24	0	0	0	0	0	0	1	53	0	0	0	0	0	0	0	0	0	0	91	21408	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-Questionnaire-IMMZD1ClientHistory.json	8434	21	0	0	0	0	0	0	1	33	0	0	0	0	0	0	0	0	0	0	88	414	0	0	0	0	7	0	0
fsh-generated/resources/Questionnaire-Questionnaire-IMMZD4CheckContraindications.json	2409	8	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	30	262	0	0	0	0	1	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.D4.QuestionnaireResponse.1.json	691	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	22	38	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.D4.QuestionnaireResponse.2.json	698	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	20	15	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.D4.QuestionnaireResponse.3.json	698	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	20	28	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.D4.QuestionnaireResponse.4.json	1729	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	31	36	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-IMMZCQuestionnaireResponse1.json	2906	10	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	57	42	0	0	0	0	0	0	0
fsh-generated/resources/Requirements-immz-e-fxnreq.json	6348	10	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	61	59	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-IMMZCRegisterClient.json	10763	23	0	0	1	0	0	62	0	82	0	0	1	0	0	0	0	0	0	0	144	1256	0	0	0	0	9	0	6
fsh-generated/resources/StructureDefinition-IMMZD1clienthistorymeasles.json	9034	19	0	0	0	0	0	49	0	55	0	0	0	0	0	0	0	0	0	0	115	386	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-IMMZD4CheckContraindications.json	2337	8	0	0	0	0	0	29	0	16	0	0	0	0	0	0	0	0	0	0	42	206	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SGImmunization.json	1851	8	1	0	0	0	0	241	1	181	0	0	0	0	0	1	0	2	0	0	278	883	0	0	0	0	15	1	0
fsh-generated/resources/StructureDefinition-SGMedicationClassification.json	1536	7	0	0	0	0	0	41	0	25	0	0	0	0	0	0	0	0	0	0	52	166	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SGVaccineProduct.json	1744	7	0	0	0	0	0	122	0	90	0	0	0	0	0	0	0	0	0	0	155	514	0	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-SGVaccineProposal.json	2120	9	0	0	0	0	0	229	0	223	0	0	0	0	0	0	0	1	0	0	299	697	0	0	1	0	15	0	0
fsh-generated/resources/StructureDefinition-SGVaccineRequest.json	1623	7	0	0	0	0	0	228	0	178	0	0	0	0	0	0	0	2	0	0	287	704	0	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-sg-ext-administeredProduct.json	1652	7	0	0	0	0	0	115	0	26	0	0	0	0	0	0	0	0	0	0	57	148	0	0	0	0	10	0	0
fsh-generated/resources/ValueSet-IMMZ-C-DE5.json	843	5	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	14	244	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IMMZ-D1.DE10.json	778	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	13	230	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IMMZ-D1.DE35.json	691	4	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	13	230	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-IMMZ-D1.DE52.json	851	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	234	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IMMZ-D1.DE56.json	882	5	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	16	228	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IMMZ-D1.DE61.json	796	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	14	244	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-IMMZ-D1.DE65.json	722	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	12	231	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IMMZ-D1.DE68.json	865	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	13	226	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IMMZ-D1.DE73.json	772	5	1	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	14	224	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-IMMZ-D1.DE84.json	725	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	218	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IMMZ-D1.DE87.json	712	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	11	218	0	0	0	0	8	0	0
fsh-generated/resources/ValueSet-IMMZ.D4.DE161.json	1050	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	14	227	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-VSMeaslesVaccineProducts.json	685	5	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	10	215	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VaccineTypes.json	444	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	285	0	0	0	0	0	0	0
input/maps/IMMZCLMToPatient.fml	1794	20	0	0	0	0	0	0	1	70	0	0	0	0	0	0	0	0	0	0	45	31	0	0	0	0	2	0	0
input/maps/IMMZCQRToLM.fml	2676	71	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	54	27	0	0	0	0	2	0	0
input/maps/IMMZCQRToPatient.fml	3430	14	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	23	17	0	0	0	0	0	0	0
input/maps/IMMZD4LMToResources.fml	805	12	0	0	0	0	0	0	0	16	0	0	1	0	0	0	0	0	0	0	23	18	0	0	0	0	1	0	0
input/maps/IMMZD4QRToLM.fml	706	11	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	20	16	0	0	0	0	1	0	0
input/maps/IMMZD4QRToResources.fml	952	10	1	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	26	16	0	0	0	0	1	0	0
